Run,StartLS,EndLS,Value,Pileup (not OMS)
394270,1,30,20429.35473,0.10786
394270,31,61,25799.81464,0.13182
394270,62,95,27088.08768,0.12619
394271,1,30,24459.59055,0.12914
394271,31,60,24307.20663,0.12834
394271,61,106,36646.65145,0.12619
394271,172,230,45411.08787,0.12191
394271,231,270,30321.93844,0.12007
394271,271,306,26746.22485,0.11768
394272,1,30,22272.42765,0.11759
394272,31,60,22272.12776,0.11759
394272,61,90,21957.05414,0.11593
394272,91,120,21705.89857,0.11460
394272,121,150,21560.46283,0.11383
394272,151,180,21402.39136,0.11300
394272,181,210,21253.4167,0.11221
394272,211,240,21115.48677,0.11148
394272,241,270,21000.17935,0.11088
394272,271,330,41392.46221,0.10927
394272,331,357,18378.61271,0.10782
394272,663,700,24481.48483,0.10204
394272,701,730,19274.60257,0.10176
394272,731,760,18971.78963,0.10017
394272,761,790,18824.97189,0.09939
394272,791,820,18926.35776,0.09993
394272,821,850,18678.92308,0.09862
394272,851,880,18746.24347,0.09898
394272,881,910,18569.71522,0.09804
394272,911,940,18326.37831,0.09676
394272,941,970,18248.39929,0.09635
394272,971,1000,18132.41369,0.09573
394272,1001,1030,18021.01997,0.09515
394272,1031,1060,17950.50766,0.09477
394272,1061,1090,17868.24207,0.09434
394272,1091,1135,26341.0501,0.09272